
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.39e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      1  EP      0.0000e+00   2.3939e-02
   15  00:00:00   2.7804e-02      2  EP     -1.0000e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      3  EP      0.0000e+00   2.3939e-02
   20  00:00:00   3.0905e-02      4  SN      1.3821e-02   2.3939e-02
   20  00:00:00   3.0905e-02      5  BP      1.3821e-02   2.3939e-02
   24  00:00:00   3.3705e-02      6  SN      1.6777e-02   2.3939e-02
   24  00:00:00   3.3705e-02      7  BP      1.6777e-02   2.3939e-02
   30  00:00:00   3.8269e-02      8  HB      2.1112e-02   2.3939e-02
   36  00:00:00   4.2629e-02      9  SN      2.4942e-02   2.3939e-02
   36  00:00:00   4.2629e-02     10  BP      2.4942e-02   2.3939e-02
   40  00:00:00   4.5840e-02     11  SN      2.7642e-02   2.3939e-02
   40  00:00:00   4.5840e-02     12  BP      2.7642e-02   2.3939e-02
   48  00:00:00   5.2935e-02     13  SN      3.3384e-02   2.3939e-02
   48  00:00:00   5.2935e-02     14  BP      3.3384e-02   2.3939e-02
   52  00:00:00   5.6986e-02     15  HB      3.6567e-02   2.3939e-02
   57  00:00:01   6.1004e-02     16  SN      3.9676e-02   2.3939e-02
   57  00:00:01   6.1004e-02     17  BP      3.9676e-02   2.3939e-02
   59  00:00:01   6.3336e-02     18  SN      4.1463e-02   2.3939e-02
   59  00:00:01   6.3336e-02     19  BP      4.1463e-02   2.3939e-02
  889  00:00:05   8.8890e-01     20  EP      6.2832e-01   2.3939e-02
