
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.8646e-01      1  EP      1.2990e-01   3.1416e-02
    1  00:00:00   1.8644e-01      2  FP      1.2989e-01   3.1416e-02
    1  00:00:00   1.8644e-01      3  SN      1.2989e-01   3.1416e-02
  270  00:00:01   4.4808e-01      4  UZ      3.1416e-01   3.1416e-02
  718  00:00:03   8.9536e-01      5  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   1.8646e-01      6  EP      1.2990e-01   3.1416e-02
    1  00:00:03   1.8646e-01      7  BP      1.2990e-01   3.1416e-02
    1  00:00:03   1.8646e-01      8  SN      1.2990e-01   3.1416e-02
  269  00:00:05   4.4815e-01      9  UZ      3.1416e-01   3.1416e-02
  717  00:00:07   8.9556e-01     10  EP      6.2832e-01   3.1416e-02
