
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.9108e-02      1  EP      2.6689e-02   3.1416e-02
    1  00:00:00   4.9108e-02      2  SN      2.6689e-02   3.1416e-02
    1  00:00:00   4.9108e-02      3  BP      2.6689e-02   3.1416e-02
   13  00:00:00   4.0558e-02      4  SN      1.8138e-02   3.1416e-02
   13  00:00:00   4.0558e-02      5  BP      1.8138e-02   3.1416e-02
   53  00:00:00   3.4452e-02      6  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.9108e-02      7  EP      2.6689e-02   3.1416e-02
   14  00:00:00   6.0157e-02      8  SN      3.6276e-02   3.1416e-02
   14  00:00:00   6.0157e-02      9  BP      3.6276e-02   3.1416e-02
   28  00:00:00   7.2122e-02     10  SN      4.5906e-02   3.1416e-02
   28  00:00:00   7.2122e-02     11  BP      4.5906e-02   3.1416e-02
   40  00:00:00   8.3119e-02     12  SN      5.4414e-02   3.1416e-02
   40  00:00:00   8.3119e-02     13  BP      5.4414e-02   3.1416e-02
   55  00:00:01   9.6937e-02     14  BP      6.4845e-02   3.1416e-02
   55  00:00:01   9.6937e-02     15  SN      6.4845e-02   3.1416e-02
   66  00:00:01   1.0731e-01     16  BP      7.2552e-02   3.1416e-02
   66  00:00:01   1.0731e-01     17  SN      7.2552e-02   3.1416e-02
   81  00:00:01   1.2254e-01     18  SN      8.3751e-02   3.1416e-02
   81  00:00:01   1.2254e-01     19  BP      8.3751e-02   3.1416e-02
   91  00:00:01   1.3205e-01     20  SN      9.0690e-02   3.1416e-02
   91  00:00:01   1.3205e-01     21  BP      9.0690e-02   3.1416e-02
  108  00:00:01   1.4865e-01     22  SN      1.0274e-01   3.1416e-02
  108  00:00:01   1.4865e-01     23  BP      1.0274e-01   3.1416e-02
  117  00:00:01   1.5708e-01     24  SN      1.0883e-01   3.1416e-02
  117  00:00:01   1.5708e-01     25  BP      1.0883e-01   3.1416e-02
  136  00:00:02   1.7537e-01     26  BP      1.2200e-01   3.1416e-02
  136  00:00:02   1.7537e-01     27  SN      1.2200e-01   3.1416e-02
  143  00:00:02   1.8228e-01     28  BP      1.2697e-01   3.1416e-02
  143  00:00:02   1.8228e-01     29  SN      1.2697e-01   3.1416e-02
  407  00:00:03   4.4540e-01     30  UZ      3.1416e-01   3.1416e-02
  852  00:00:05   8.8913e-01     31  EP      6.2832e-01   3.1416e-02
