
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.0157e-02      1  EP      3.6276e-02   3.1416e-02
    1  00:00:00   6.0157e-02      2  SN      3.6276e-02   3.1416e-02
    1  00:00:00   6.0105e-02      3  FP      3.6231e-02   3.1416e-02
   34  00:00:00   8.0841e-02      4  SN      4.9800e-02   3.1416e-02
   34  00:00:00   8.0841e-02      5  BP      4.9800e-02   3.1416e-02
   82  00:00:00   1.2552e-01      6  UZ      7.8540e-02   3.1416e-02
  207  00:00:01   2.4903e-01      7  UZ      1.5708e-01   3.1416e-02
  332  00:00:01   3.7299e-01      8  UZ      2.3562e-01   3.1416e-02
  457  00:00:02   4.9706e-01      9  UZ      3.1416e-01   3.1416e-02
  954  00:00:04   9.9362e-01     10  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   6.0157e-02     11  EP      3.6276e-02   3.1416e-02
    1  00:00:04   6.0157e-02     12  BP      3.6276e-02   3.1416e-02
    1  00:00:04   6.0264e-02     13  FP      3.6358e-02   3.1416e-02
    2  00:00:04   6.0264e-02     14  SN      3.6358e-02   3.1416e-02
    2  00:00:04   6.0263e-02     15  FP      3.6349e-02   3.1416e-02
   33  00:00:04   8.0845e-02     16  SN      4.9803e-02   3.1416e-02
   33  00:00:04   8.0845e-02     17  BP      4.9802e-02   3.1416e-02
   81  00:00:05   1.2552e-01     18  UZ      7.8540e-02   3.1416e-02
  207  00:00:05   2.4903e-01     19  UZ      1.5708e-01   3.1416e-02
  331  00:00:06   3.7299e-01     20  UZ      2.3562e-01   3.1416e-02
  456  00:00:07   4.9706e-01     21  UZ      3.1416e-01   3.1416e-02
  953  00:00:09   9.9362e-01     22  EP      6.2832e-01   3.1416e-02
