
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.0691e-02      1  EP      3.7226e-02   3.1416e-02
    1  00:00:00   7.0691e-02      2  SN      3.7226e-02   3.1416e-02
    1  00:00:00   7.0614e-02      3  FP      3.7170e-02   3.1416e-02
    2  00:00:00   6.9105e-02      4  SN      3.6312e-02   3.1416e-02
    2  00:00:00   7.0746e-02      5  FP      3.7227e-02   3.1416e-02
   55  00:00:00   4.8383e-02      6  SN      2.3625e-02   3.1416e-02
   55  00:00:00   4.8397e-02      7  FP      2.3616e-02   3.1416e-02
  184  00:00:01   1.6180e-01      8  UZ      7.8540e-02   3.1416e-02
  348  00:00:01   3.2382e-01      9  UZ      1.5708e-01   3.1416e-02
  510  00:00:02   4.8574e-01     10  UZ      2.3562e-01   3.1416e-02
  673  00:00:03   6.4766e-01     11  UZ      3.1416e-01   3.1416e-02
  835  00:00:03   8.0957e-01     12  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   7.0691e-02     13  EP      3.7226e-02   3.1416e-02
    1  00:00:04   7.0691e-02     14  BP      3.7226e-02   3.1416e-02
    1  00:00:04   7.0771e-02     15  FP      3.7282e-02   3.1416e-02
   52  00:00:04   4.7902e-02     16  SN      2.3346e-02   3.1416e-02
   52  00:00:04   4.7904e-02     17  FP      2.3334e-02   3.1416e-02
  182  00:00:05   1.6180e-01     18  UZ      7.8540e-02   3.1416e-02
  346  00:00:06   3.2382e-01     19  UZ      1.5708e-01   3.1416e-02
  508  00:00:07   4.8574e-01     20  UZ      2.3562e-01   3.1416e-02
  670  00:00:07   6.4766e-01     21  UZ      3.1416e-01   3.1416e-02
  833  00:00:08   8.0957e-01     22  EP      3.9270e-01   3.1416e-02
